table_name,league_id,league_name,season,classification,verify_row_count,allwin_row_count,match_ids_only_in_verify,match_ids_only_in_allwin,common_match_ids,row_count_delta,mismatch_row_count,mismatch_types,notes,representative_ids
fact_shotmap,53,Ligue1,2025/2026,EXACT,7618,7618,0,0,306,0,0,,,
fact_shotmap,54,Bundesliga,2020/2021,EXACT,7603,7603,0,0,306,0,0,,,
fact_shotmap,54,Bundesliga,2021/2022,EXACT,7961,7961,0,0,306,0,0,,,
fact_shotmap,54,Bundesliga,2022/2023,EXACT,7825,7825,0,0,306,0,0,,,
fact_shotmap,54,Bundesliga,2023/2024,EXACT,8523,8523,0,0,306,0,0,,,
fact_shotmap,54,Bundesliga,2024/2025,EXACT,7989,7989,0,0,306,0,0,,,
fact_shotmap,54,Bundesliga,2025/2026,EXACT,8130,8130,0,0,306,0,0,,,
fact_shotmap,55,SerieA,2020/2021,EXACT,9520,9520,0,0,380,0,0,,,
fact_shotmap,55,SerieA,2021/2022,EXACT,9939,9939,0,0,380,0,0,,,
fact_shotmap,55,SerieA,2022/2023,EXACT,9708,9708,0,0,381,0,0,,,
fact_shotmap,55,SerieA,2023/2024,EXACT,9724,9724,0,0,380,0,0,,,
fact_shotmap,55,SerieA,2024/2025,EXACT,9250,9250,0,0,380,0,0,,,
fact_shotmap,55,SerieA,2025/2026,EXACT,9381,9381,0,0,380,0,0,,,
fact_shotmap,87,LaLiga,2020/2021,EXACT,8132,8132,0,0,380,0,0,,,
fact_shotmap,87,LaLiga,2021/2022,EXACT,8982,8982,0,0,380,0,0,,,
fact_shotmap,87,LaLiga,2022/2023,EXACT,9392,9392,0,0,380,0,0,,,
fact_shotmap,87,LaLiga,2023/2024,EXACT,9335,9335,0,0,380,0,0,,,
fact_shotmap,87,LaLiga,2024/2025,EXACT,9065,9065,0,0,380,0,0,,,
fact_shotmap,87,LaLiga,2025/2026,EXACT,9510,9510,0,0,380,0,0,,,
fact_team_match_stats,53,Ligue1,2020/2021,EXACT,784,784,0,0,380,0,0,,,
fact_team_match_stats,53,Ligue1,2021/2022,EXACT,832,832,0,0,380,0,0,,,
fact_team_match_stats,53,Ligue1,2022/2023,EXACT,1196,1196,0,0,380,0,0,,,
fact_team_match_stats,53,Ligue1,2023/2024,EXACT,1832,1832,0,0,306,0,0,,,
